Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
53300,40,57,3,0.4,0.57,0.03
53400,37,61,2,0.37,0.61,0.02
53500,24,68,8,0.24,0.68,0.08
53600,40,58,2,0.4,0.58,0.02
53700,42,52,6,0.42,0.52,0.06
53800,38,56,6,0.38,0.56,0.06
53900,39,59,2,0.39,0.59,0.02
54000,42,54,4,0.42,0.54,0.04
54100,30,67,3,0.3,0.67,0.03
54200,40,59,1,0.4,0.59,0.01
54300,46,52,2,0.46,0.52,0.02
54400,40,54,6,0.4,0.54,0.06
54500,34,63,3,0.34,0.63,0.03
54600,37,59,4,0.37,0.59,0.04
54700,37,57,6,0.37,0.57,0.06
54800,43,54,3,0.43,0.54,0.03
54900,27,68,5,0.27,0.68,0.05
55000,39,57,4,0.39,0.57,0.04
55100,33,62,5,0.33,0.62,0.05
55200,47,52,1,0.47,0.52,0.01
55300,23,76,1,0.23,0.76,0.01
55400,17,79,4,0.17,0.79,0.04
55500,42,56,2,0.42,0.56,0.02
55600,47,49,4,0.47,0.49,0.04
55700,27,68,5,0.27,0.68,0.05
55800,50,48,2,0.5,0.48,0.02
55900,38,58,4,0.38,0.58,0.04
56000,46,52,2,0.46,0.52,0.02
56100,42,51,7,0.42,0.51,0.07
56200,43,54,3,0.43,0.54,0.03
56300,32,65,3,0.32,0.65,0.03
56400,54,41,5,0.54,0.41,0.05
56500,46,52,2,0.46,0.52,0.02
56600,42,55,3,0.42,0.55,0.03
56700,50,49,1,0.5,0.49,0.01
56800,56,42,2,0.56,0.42,0.02
56900,58,38,4,0.58,0.38,0.04
57000,56,43,1,0.56,0.43,0.01
57100,50,47,3,0.5,0.47,0.03
57200,39,52,9,0.39,0.52,0.09
57300,31,65,4,0.31,0.65,0.04
57400,26,69,5,0.26,0.69,0.05
57500,36,63,1,0.36,0.63,0.01
57600,48,46,6,0.48,0.46,0.06
57700,44,54,2,0.44,0.54,0.02
57800,30,66,4,0.3,0.66,0.04
57900,39,60,1,0.39,0.6,0.01
58000,35,61,4,0.35,0.61,0.04
58100,33,64,3,0.33,0.64,0.03
58200,41,57,2,0.41,0.57,0.02
58300,36,61,3,0.36,0.61,0.03
58400,48,48,4,0.48,0.48,0.04
58500,48,49,3,0.48,0.49,0.03
58600,36,61,3,0.36,0.61,0.03
58700,57,38,5,0.57,0.38,0.05
58800,52,42,6,0.52,0.42,0.06
58900,30,69,1,0.3,0.69,0.01
59000,42,55,3,0.42,0.55,0.03
59100,50,46,4,0.5,0.46,0.04
59200,31,63,6,0.31,0.63,0.06
59300,48,49,3,0.48,0.49,0.03
59400,40,59,1,0.4,0.59,0.01
59500,34,63,3,0.34,0.63,0.03
59600,36,60,4,0.36,0.6,0.04
59700,48,44,8,0.48,0.44,0.08
59800,38,57,5,0.38,0.57,0.05
