Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
45700,15,82,3,0.15,0.82,0.03
45800,17,79,4,0.17,0.79,0.04
45900,18,77,5,0.18,0.77,0.05
46000,25,73,2,0.25,0.73,0.02
46100,26,73,1,0.26,0.73,0.01
46200,17,80,3,0.17,0.8,0.03
46300,18,81,1,0.18,0.81,0.01
46400,20,77,3,0.2,0.77,0.03
46500,12,85,3,0.12,0.85,0.03
46600,20,78,2,0.2,0.78,0.02
46700,23,73,4,0.23,0.73,0.04
46800,14,82,4,0.14,0.82,0.04
46900,24,73,3,0.24,0.73,0.03
47000,23,72,5,0.23,0.72,0.05
47100,17,79,4,0.17,0.79,0.04
47200,24,73,3,0.24,0.73,0.03
47300,17,78,5,0.17,0.78,0.05
47400,22,72,6,0.22,0.72,0.06
47500,21,77,2,0.21,0.77,0.02
47600,17,80,3,0.17,0.8,0.03
47700,26,72,2,0.26,0.72,0.02
47800,20,77,3,0.2,0.77,0.03
47900,20,78,2,0.2,0.78,0.02
48000,18,80,2,0.18,0.8,0.02
48100,16,79,5,0.16,0.79,0.05
48200,29,70,1,0.29,0.7,0.01
48300,20,77,3,0.2,0.77,0.03
48400,23,74,3,0.23,0.74,0.03
48500,23,76,1,0.23,0.76,0.01
48600,17,78,5,0.17,0.78,0.05
48700,21,76,3,0.21,0.76,0.03
48800,16,83,1,0.16,0.83,0.01
48900,25,71,4,0.25,0.71,0.04
49000,16,82,2,0.16,0.82,0.02
49100,24,73,3,0.24,0.73,0.03
49200,22,74,4,0.22,0.74,0.04
49300,20,76,4,0.2,0.76,0.04
49400,15,80,5,0.15,0.8,0.05
49500,16,81,3,0.16,0.81,0.03
49600,17,80,3,0.17,0.8,0.03
49700,19,78,3,0.19,0.78,0.03
49800,24,72,4,0.24,0.72,0.04
49900,18,77,5,0.18,0.77,0.05
50000,25,72,3,0.25,0.72,0.03
50100,16,81,3,0.16,0.81,0.03
50200,20,77,3,0.2,0.77,0.03
50300,25,67,8,0.25,0.67,0.08
50400,21,75,4,0.21,0.75,0.04
50500,23,72,5,0.23,0.72,0.05
50600,20,72,8,0.2,0.72,0.08
50700,16,77,7,0.16,0.77,0.07
50800,20,78,2,0.2,0.78,0.02
50900,21,75,4,0.21,0.75,0.04
51000,21,74,5,0.21,0.74,0.05
51100,14,81,5,0.14,0.81,0.05
51200,22,74,4,0.22,0.74,0.04
51300,23,75,2,0.23,0.75,0.02
51400,27,66,7,0.27,0.66,0.07
51500,20,78,2,0.2,0.78,0.02
51600,24,68,8,0.24,0.68,0.08
51700,18,77,5,0.18,0.77,0.05
51800,23,74,3,0.23,0.74,0.03
51900,16,79,5,0.16,0.79,0.05
52000,19,74,7,0.19,0.74,0.07
52100,17,80,3,0.17,0.8,0.03
52200,20,76,4,0.2,0.76,0.04
52300,21,77,2,0.21,0.77,0.02
52400,15,82,3,0.15,0.82,0.03
52500,17,81,2,0.17,0.81,0.02
52600,29,66,5,0.29,0.66,0.05
52700,15,79,6,0.15,0.79,0.06
52800,19,78,3,0.19,0.78,0.03
52900,17,79,4,0.17,0.79,0.04
53000,18,79,3,0.18,0.79,0.03
53100,28,70,2,0.28,0.7,0.02
53200,17,78,5,0.17,0.78,0.05
53300,18,79,3,0.18,0.79,0.03
53400,26,72,2,0.26,0.72,0.02
53500,19,73,8,0.19,0.73,0.08
53600,18,77,5,0.18,0.77,0.05
53700,22,74,4,0.22,0.74,0.04
53800,20,80,0,0.2,0.8,0.0
53900,13,82,5,0.13,0.82,0.05
54000,20,77,3,0.2,0.77,0.03
54100,16,78,6,0.16,0.78,0.06
54200,14,82,4,0.14,0.82,0.04
54300,24,74,2,0.24,0.74,0.02
54400,12,85,3,0.12,0.85,0.03
54500,23,75,2,0.23,0.75,0.02
54600,14,81,5,0.14,0.81,0.05
54700,19,76,5,0.19,0.76,0.05
54800,14,82,4,0.14,0.82,0.04
54900,15,80,5,0.15,0.8,0.05
55000,20,75,5,0.2,0.75,0.05
55100,22,72,6,0.22,0.72,0.06
55200,7,90,3,0.07,0.9,0.03
55300,11,84,5,0.11,0.84,0.05
55400,20,79,1,0.2,0.79,0.01
55500,23,72,5,0.23,0.72,0.05
55600,19,78,3,0.19,0.78,0.03
55700,20,74,6,0.2,0.74,0.06
55800,16,81,3,0.16,0.81,0.03
55900,22,73,5,0.22,0.73,0.05
56000,18,80,2,0.18,0.8,0.02
56100,18,78,4,0.18,0.78,0.04
56200,15,78,7,0.15,0.78,0.07
56300,15,80,5,0.15,0.8,0.05
56400,21,72,7,0.21,0.72,0.07
56500,14,82,4,0.14,0.82,0.04
56600,15,81,4,0.15,0.81,0.04
56700,13,83,4,0.13,0.83,0.04
56800,17,77,6,0.17,0.77,0.06
56900,14,83,3,0.14,0.83,0.03
57000,18,78,4,0.18,0.78,0.04
57100,24,73,3,0.24,0.73,0.03
57200,21,77,2,0.21,0.77,0.02
57300,19,79,2,0.19,0.79,0.02
57400,17,82,1,0.17,0.82,0.01
57500,23,76,1,0.23,0.76,0.01
57600,13,87,0,0.13,0.87,0.0
57700,19,75,6,0.19,0.75,0.06
57800,18,75,7,0.18,0.75,0.07
57900,15,81,4,0.15,0.81,0.04
58000,20,75,5,0.2,0.75,0.05
58100,14,79,7,0.14,0.79,0.07
58200,16,79,5,0.16,0.79,0.05
58300,20,79,1,0.2,0.79,0.01
58400,20,73,7,0.2,0.73,0.07
58500,26,73,1,0.26,0.73,0.01
58600,16,81,3,0.16,0.81,0.03
58700,23,72,5,0.23,0.72,0.05
58800,15,83,2,0.15,0.83,0.02
58900,18,79,3,0.18,0.79,0.03
59000,14,84,2,0.14,0.84,0.02
59100,26,72,2,0.26,0.72,0.02
59200,12,86,2,0.12,0.86,0.02
59300,23,74,3,0.23,0.74,0.03
59400,21,78,1,0.21,0.78,0.01
59500,20,73,7,0.2,0.73,0.07
59600,19,75,6,0.19,0.75,0.06
59700,23,72,5,0.23,0.72,0.05
59800,17,79,4,0.17,0.79,0.04
59900,20,75,5,0.2,0.75,0.05
60000,17,81,2,0.17,0.81,0.02
60100,25,71,4,0.25,0.71,0.04
60200,18,77,5,0.18,0.77,0.05
60300,25,68,7,0.25,0.68,0.07
60400,19,76,5,0.19,0.76,0.05
60500,20,77,3,0.2,0.77,0.03
60600,24,72,4,0.24,0.72,0.04
60700,16,83,1,0.16,0.83,0.01
60800,20,75,5,0.2,0.75,0.05
60900,19,79,2,0.19,0.79,0.02
61000,12,82,6,0.12,0.82,0.06
